    Time   Pump 2       LT     Flow 
    74.70    4.500    4.555    2.755
    74.80    4.500    4.555    2.755
    74.90    4.500    4.555    2.755
    75.00    4.500    4.555    2.750
    75.10    4.500    4.555    2.750
    75.20    4.500    4.555    2.750
    75.30    4.500    4.555    2.750
    75.40    4.500    4.560    2.755
    75.50    4.500    4.560    2.755
    75.60    4.500    4.560    2.755
    75.70    4.500    4.560    2.750
    75.80    4.500    4.565    2.750
    75.90    4.500    4.565    2.750
    76.00    4.500    4.565    2.755
    76.10    4.500    4.565    2.755
    76.20    4.500    4.565    2.755
    76.30    4.500    4.565    2.755
    76.40    4.500    4.565    2.755
    76.50    4.500    4.570    2.755
    76.60    4.500    4.570    2.755
    76.70    4.500    4.570    2.755
    76.80    4.500    4.570    2.755
    76.90    4.500    4.570    2.755
    77.00    4.500    4.570    2.755
    77.10    4.500    4.575    2.755
    77.20    4.500    4.575    2.750
    77.30    4.500    4.575    2.750
    77.40    4.500    4.575    2.750
    77.50    4.500    4.575    2.750
    77.60    4.500    4.575    2.750
    77.70    4.500    4.575    2.750
    77.80    4.500    4.575    2.750
    77.90    4.500    4.575    2.750
    78.00    4.500    4.575    2.755
    78.10    4.500    4.580    2.755
    78.20    4.500    4.580    2.755
    78.30    4.500    4.580    2.750
    78.40    4.500    4.580    2.750
    78.50    4.500    4.580    2.750
    78.60    4.500    4.580    2.750
    78.70    4.500    4.585    2.750
    78.80    4.500    4.585    2.750
    78.90    4.500    4.585    2.750
    79.00    4.500    4.585    2.750
    79.10    4.500    4.585    2.750
    79.20    4.500    4.585    2.755
    79.30    4.500    4.590    2.755
    79.40    4.500    4.590    2.750
    79.50    4.500    4.590    2.755
    79.60    4.500    4.590    2.755
    79.70    4.500    4.590    2.755
    79.80    4.500    4.595    2.755
    79.90    4.500    4.595    2.755
    80.00    4.500    4.595    2.755
    80.10    4.500    4.595    2.755
    80.20    4.500    4.595    2.755
    80.30    4.500    4.595    2.755
    80.40    4.500    4.595    2.755
    80.50    4.500    4.595    2.755
    80.60    4.500    4.595    2.755
    80.70    4.500    4.595    2.755
    80.80    4.500    4.600    2.755
    80.90    4.500    4.600    2.760
    81.00    4.500    4.600    2.760
    81.10    4.500    4.600    2.760
    81.20    4.500    4.600    2.760
    81.30    4.500    4.600    2.760
    81.40    4.500    4.600    2.760
    81.50    4.500    4.600    2.755
    81.60    4.500    4.600    2.760
    81.70    4.500    4.600    2.760
    81.80    4.500    4.600    2.760
